date;ipi;ipi(INS);ipi(INV);ipi(IVKON ND);ipi(IVKON D);M.F;IM;EX;NT;RTI;TSV;conscon;manfcon;consbcon;traind;retindi;manprd;ecoten;CCIM;CCA;CPI;PPIC;PPIE;PPICA;EPI;IMPI;PPI;carpass;buses;Manu;polrate;govtbnd10;govrtbnd5;trebil;sekeu;sekusd;Govtde
Transform;2;2;5;5;5;2;5;5;5;5;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;2;2;2;5;5;5
1993.01.31;66,56;71,04;40,3;93,7;41,5;60,25;23 080,0;27 170,0;4 090,0;38,2;;0;;;;;;;661,7;223,2;241,46;72,7;51,3;81,8;68,4;58,8;63,6;8473;58;60,2484594;10,6;10,17;9,56;9,81;8,8;7,2;939224
1993.02.28;66,86;69,11;46,6;89,2;45,4;61,84;25 150,0;29 290,0;4 140,0;37,2;;0;;;;;;;663,4;224,2;242,14;72,9;51,6;82,9;69,3;59,8;64,1;9709;37;61,8391778;9,98;9,83;9,03;9,37;8,9;7,5;952534
1993.03.31;73,36;75,98;51,3;99,3;47,2;68,40;31 180,0;34 840,0;3 660,0;41,7;;0;;;;;;;666,9;225,7;243,17;73,3;52,4;83,9;70,5;61,2;64,8;13378;44;68,4008912;9,75;9,4;8,59;9,76;9,1;7,7;964926
1993.04.30;70,31;75,30;48,8;96,3;49,3;66,31;27 390,0;32 030,0;4 640,0;42,6;;0;;;;;;;665,2;225,3;244,19;73,4;52,4;84,3;71;61,4;65;11876;67;66,3130733;9,69;9,44;8,59;9,53;9,1;7,4;953580
1993.05.31;70,42;78,01;48,9;97,9;44,9;67,11;26 010,0;30 160,0;4 150,0;42;;0;;;;;;;662,0;225,6;243,62;73,4;51;84,7;70,7;60,8;64,7;10546;57;67,1084325;9,06;9,12;8,17;8,79;8,9;7,3;953435
1993.06.30;73,26;80,82;53,4;97,3;48,8;70,19;28 040,0;32 610,0;4 570,0;42,2;;0;;;;;;;660,4;225,9;242,82;73,5;50;84,6;70,3;60,4;64,5;10488;81;70,1904494;8,75;8,71;7,78;8,37;8,8;7,4;960611
1993.07.31;45,05;42,98;27,7;73,5;19,6;40,86;20 010,0;30 070,0;10 060,0;41,6;;0;;;;;;;660,2;226,3;242,35;73,8;50;84,9;70,5;61,4;64,7;7205;47;40,8615789;8,52;8,27;7,39;8,26;9;8;1003711
1993.08.31;64,43;71,34;43,0;85,8;42,7;60,25;27 700,0;27 100,0;-600,0;42,7;;0;;;;;;;657,6;226,0;242,61;74,1;50;85;71;62,1;65;7943;58;60,2484594;8,17;7,66;6,75;7,64;9,1;8,1;998871
1993.09.30;73,26;77,34;54,6;96,8;52,4;69,79;30 780,0;36 530,0;5 750,0;42,5;;0;;;;;;;659,0;226,4;244,77;74,4;50,2;84,9;71,1;62,7;65,1;10888;53;69,7927698;8;7,82;6,95;7,58;9,4;8;1042354
1993.10.31;74,47;78,59;53,8;100,3;52,0;70,49;32 200,0;36 090,0;3 890,0;43,5;;0;;;;;;;660,7;227,9;245,5;74,6;51,5;85,5;71,3;63,2;65,4;12241;45;70,4887091;7,94;7,59;6,76;7,5;9,3;8;1051325
1993.11.30;74,88;77,14;54,9;97,3;51,0;70,09;32 150,0;36 980,0;4 830,0;42,8;;0;;;;;;;660,0;228,4;245,6;74,9;51,6;85,9;71,5;62,9;65,6;12669;47;70,0910295;7,75;7,52;6,59;7,27;9,3;8,3;1086300
1993.12.31;78,53;73,66;66,9;92,6;52,1;73,57;30 600,0;35 430,0;4 830,0;59,5;;0;;;;;;;666,1;230,9;244,66;75,1;51;86,1;71,8;63,2;65,8;12322;65;73,570726;7,75;7,3;6,42;6,94;9,4;8,4;1132267
1994.01.31;71,02;74,63;48,2;90,2;50,3;64,72;27 370,0;34 670,0;7 300,0;38,1;;0;;;;;;;658,9;230,2;245,42;75,5;52,7;87,3;72,8;62,8;66,7;10782;47;64,7223549;7,68;7,05;6,36;7,01;9,1;8,1;1150432
